Calculated Dose,Regular,APL,Regenboogen
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
45.0,"10.0,10.0,10.0,10.0","5.0",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
41.0,"","2.0,2.0,18.5,18.5",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
39.0,"10.0,10.0,10.0","5.0,2.0,2.0",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
38.5,"10.0,10.0","18.5",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
36.0,"10.0,10.0,10.0","2.0,2.0,2.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
35.0,"10.0,10.0,10.0","5.0",""
34.0,"10.0,10.0,10.0","2.0,2.0",""
34.0,"10.0,10.0,10.0","2.0,2.0",""
34.0,"10.0,10.0,10.0","2.0,2.0",""
34.0,"10.0,10.0,10.0","2.0,2.0",""
34.0,"10.0,10.0,10.0","2.0,2.0",""
