Calculated Dose,Regular,APL,Regenboogen
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
26.0,"25.0","",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
22.0,"","5.0,5.0,5.0,5.0,2.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
18.0,"","5.0,5.0,5.0,2.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
16.0,"","5.0,5.0,5.0",""
