Calculated Dose,Regular,APL,Regenboogen
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.6,"8.8,8.8","",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
17.5,"","5.0,2.5,2.5,2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
16.3,"8.8","2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
15.0,"","2.5,2.5,2.5,2.5,2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
13.8,"8.8","2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
12.5,"","2.5,2.5,2.5,2.5,2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
11.3,"8.8","2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
10.0,"","2.5,2.5,2.5,2.5",""
